Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Customer_Segment
253,33,597.78,2,2,2,222,6,Potential Loyalist
399,144,1944.57,1,3,3,133,7,Loyal Customers
18,543,2592.95,4,4,4,444,12,Champions
32,306,1483.14,3,4,3,343,10,Champions
14,44,762.75,4,2,2,422,8,Loyal Customers
26,83,364.90000000000003,3,3,2,332,8,Loyal Customers
467,41,903.75,1,2,3,123,6,Potential Loyalist
502,2,153.24,1,1,1,111,3,Needs Attention
22,18,301.26,4,1,1,411,6,Potential Loyalist
78,53,417.87,3,2,2,322,7,Loyal Customers
7,139,2517.11,4,3,4,434,11,Champions
21,29,149.29,4,2,1,421,7,Loyal Customers
11,329,1122.53,4,4,3,443,11,Champions
261,57,393.45,2,3,2,232,7,Loyal Customers
130,25,156.57999999999998,2,2,1,221,5,Potential Loyalist
404,57,1269.05,1,3,3,133,7,Loyal Customers
54,62,383.68,3,3,2,332,8,Loyal Customers
395,57,1254.21,1,3,3,133,7,Loyal Customers
248,2,594.0,2,1,2,212,5,Potential Loyalist
1,651,5116.14,4,4,4,444,12,Champions
8,219,1418.26,4,4,3,443,11,Champions
263,14,284.5,2,1,1,211,4,Needs Attention
376,116,398.85,2,3,2,232,7,Loyal Customers
330,30,484.93,2,2,2,222,6,Potential Loyalist
312,49,788.81,2,2,2,222,6,Potential Loyalist
25,62,971.22,3,3,3,333,9,Champions
29,30,429.84,3,2,2,322,7,Loyal Customers
433,63,233.21,1,3,1,131,5,Potential Loyalist
29,202,1799.1100000000001,3,4,3,343,10,Champions
1,286,1388.37,4,4,3,443,11,Champions
361,41,307.69,2,2,1,221,5,Potential Loyalist
597,2,38.25,1,1,1,111,3,Needs Attention
282,230,2119.27,2,4,3,243,9,Champions
261,58,237.07,2,3,1,231,6,Potential Loyalist
24,13,370.43999999999994,4,1,2,412,7,Loyal Customers
416,7,202.82999999999998,1,1,1,111,3,Needs Attention
353,58,216.76,2,3,1,231,6,Potential Loyalist
460,5,391.29999999999995,1,1,2,112,4,Needs Attention
93,41,737.05,3,2,2,322,7,Loyal Customers
28,7,126.14,3,1,1,311,5,Potential Loyalist
337,157,1048.85,2,4,3,243,9,Champions
19,271,12226.15,4,4,4,444,12,Champions
84,265,1571.01,3,4,3,343,10,Champions
8,53,511.88,4,2,2,422,8,Loyal Customers
34,88,1387.48,3,3,3,333,9,Champions
42,47,834.4,3,2,2,322,7,Loyal Customers
575,4,63.419999999999995,1,1,1,111,3,Needs Attention
1,162,1316.56,4,4,3,443,11,Champions
112,76,371.56,2,3,2,232,7,Loyal Customers
13,17,1740.0,4,1,3,413,8,Loyal Customers
595,20,163.1,1,1,1,111,3,Needs Attention
76,29,454.10999999999996,3,2,2,322,7,Loyal Customers
379,80,2180.28,2,3,3,233,8,Loyal Customers
649,2,368.4,1,1,2,112,4,Needs Attention
39,71,2024.98,3,3,3,333,9,Champions
732,9,147.4,1,1,1,111,3,Needs Attention
115,217,3592.25,2,4,4,244,10,Champions
400,38,1993.34,1,2,3,123,6,Potential Loyalist
15,179,8107.83,4,4,4,444,12,Champions
160,290,862.2,2,4,3,243,9,Champions
0,242,4624.8,4,4,4,444,12,Champions
29,165,5624.51,3,4,4,344,11,Champions
526,1,102.0,1,1,1,111,3,Needs Attention
679,14,231.32,1,1,1,111,3,Needs Attention
92,11,431.92,3,1,2,312,6,Potential Loyalist
22,123,2327.36,4,3,4,434,11,Champions
429,29,188.1,1,2,1,121,4,Needs Attention
94,155,3090.85,3,4,4,344,11,Champions
27,35,659.4599999999999,3,2,2,322,7,Loyal Customers
32,652,4280.43,3,4,4,344,11,Champions
20,380,3770.95,4,4,4,444,12,Champions
378,20,246.5,2,1,1,211,4,Needs Attention
630,22,146.14000000000001,1,2,1,121,4,Needs Attention
17,123,8643.46,4,3,4,434,11,Champions
0,988,23860.81,4,4,4,444,12,Champions
723,42,161.6,1,2,1,121,4,Needs Attention
7,68,1131.56,4,3,3,433,10,Champions
404,70,402.5,1,3,2,132,6,Potential Loyalist
15,418,8673.53,4,4,4,444,12,Champions
362,123,267.15,2,3,1,231,6,Potential Loyalist
80,70,413.9,3,3,2,332,8,Loyal Customers
52,99,3497.14,3,3,4,334,10,Champions
22,278,2040.03,4,4,3,443,11,Champions
171,46,492.36,2,2,2,222,6,Potential Loyalist
188,92,1000.27,2,3,3,233,8,Loyal Customers
379,29,166.51,2,2,1,221,5,Potential Loyalist
330,1,250.0,2,1,1,211,4,Needs Attention
11,160,909.23,4,4,3,443,11,Champions
155,32,331.58,2,2,2,222,6,Potential Loyalist
30,575,27264.45,3,4,4,344,11,Champions
11,380,5422.28,4,4,4,444,12,Champions
386,7,171.81,1,1,1,111,3,Needs Attention
44,15,62.43,3,1,1,311,5,Potential Loyalist
232,27,267.03,2,2,1,221,5,Potential Loyalist
63,464,4103.78,3,4,4,344,11,Champions
382,37,344.61,1,2,2,122,5,Potential Loyalist
1,18,343.5,4,1,2,412,7,Loyal Customers
35,423,6674.44,3,4,4,344,11,Champions
32,57,398.84,3,3,2,332,8,Loyal Customers
83,222,17220.04,3,4,4,344,11,Champions
24,9,591.4,4,1,2,412,7,Loyal Customers
1,261,1280.8,4,4,3,443,11,Champions
32,4,148.44,3,1,1,311,5,Potential Loyalist
18,355,5041.78,4,4,4,444,12,Champions
253,26,229.33,2,2,1,221,5,Potential Loyalist
22,812,5084.5,4,4,4,444,12,Champions
21,143,1813.72,4,3,3,433,10,Champions
7,228,2007.44,4,4,3,443,11,Champions
24,634,3708.05,4,4,4,444,12,Champions
18,86,746.92,4,3,2,432,9,Champions
725,8,162.25,1,1,1,111,3,Needs Attention
172,139,985.82,2,3,3,233,8,Loyal Customers
408,16,259.09,1,1,1,111,3,Needs Attention
162,24,110.92,2,2,1,221,5,Potential Loyalist
537,33,3027.15,1,2,4,124,7,Loyal Customers
6,41,538.46,4,2,2,422,8,Loyal Customers
10,31,460.68,4,2,2,422,8,Loyal Customers
113,29,85.13000000000001,2,2,1,221,5,Potential Loyalist
511,254,895.9,1,4,3,143,8,Loyal Customers
287,58,242.84,2,3,1,231,6,Potential Loyalist
8,563,8134.12,4,4,4,444,12,Champions
53,112,428.05,3,3,2,332,8,Loyal Customers
606,18,539.5500000000001,1,1,2,112,4,Needs Attention
6,1360,10140.89,4,4,4,444,12,Champions
595,23,158.09,1,2,1,121,4,Needs Attention
76,163,2308.46,3,4,4,344,11,Champions
3,243,1995.6,4,4,3,443,11,Champions
36,153,1659.28,3,4,3,343,10,Champions
216,30,252.52,2,2,1,221,5,Potential Loyalist
59,56,437.23,3,3,2,332,8,Loyal Customers
277,14,217.2,2,1,1,211,4,Needs Attention
11,1732,11744.08,4,4,4,444,12,Champions
23,31,279.77,4,2,1,421,7,Loyal Customers
28,20,473.65000000000003,3,1,2,312,6,Potential Loyalist
638,26,143.32999999999998,1,2,1,121,4,Needs Attention
567,62,1109.4,1,3,3,133,7,Loyal Customers
397,10,153.52,1,1,1,111,3,Needs Attention
11,96,1856.54,4,3,3,433,10,Champions
351,34,673.3800000000001,2,2,2,222,6,Potential Loyalist
8,264,2781.21,4,4,4,444,12,Champions
462,4,70.74000000000001,1,1,1,111,3,Needs Attention
49,8,173.16,3,1,1,311,5,Potential Loyalist
392,12,227.87,1,1,1,111,3,Needs Attention
18,7,186.01,4,1,1,411,6,Potential Loyalist
2,53,758.29,4,2,2,422,8,Loyal Customers
103,142,3586.35,2,3,4,234,9,Champions
6,794,9246.99,4,4,4,444,12,Champions
11,635,4051.63,4,4,4,444,12,Champions
4,356,4068.67,4,4,4,444,12,Champions
31,220,1207.18,3,4,3,343,10,Champions
177,374,1476.7,2,4,3,243,9,Champions
619,3,30.1,1,1,1,111,3,Needs Attention
37,45,940.6700000000001,3,2,3,323,8,Loyal Customers
150,60,397.98,2,3,2,232,7,Loyal Customers
161,13,127.1,2,1,1,211,4,Needs Attention
68,175,1267.25,3,4,3,343,10,Champions
376,258,1221.95,2,4,3,243,9,Champions
120,761,5797.780000000001,2,4,4,244,10,Champions
24,44,682.9100000000001,4,2,2,422,8,Loyal Customers
375,46,107.86,2,2,1,221,5,Potential Loyalist
23,226,1275.0,4,4,3,443,11,Champions
176,31,455.3,2,2,2,222,6,Potential Loyalist
590,39,1128.66,1,2,3,123,6,Potential Loyalist
49,14,1522.0800000000002,3,1,3,313,7,Loyal Customers
677,4,579.6,1,1,2,112,4,Needs Attention
252,30,456.58,2,2,2,222,6,Potential Loyalist
288,88,1466.41,2,3,3,233,8,Loyal Customers
582,7,217.9,1,1,1,111,3,Needs Attention
46,24,388.58,3,2,2,322,7,Loyal Customers
70,5,199.8,3,1,1,311,5,Potential Loyalist
15,104,1767.53,4,3,3,433,10,Champions
487,4,357.6,1,1,2,112,4,Needs Attention
100,187,3023.59,2,4,4,244,10,Champions
29,38,554.52,3,2,2,322,7,Loyal Customers
34,38,543.02,3,2,2,322,7,Loyal Customers
26,83,1250.06,3,3,3,333,9,Champions
427,74,1178.71,1,3,3,133,7,Loyal Customers
10,880,14919.220000000001,4,4,4,444,12,Champions
7,141,2975.9700000000003,4,3,4,434,11,Champions
78,5,74.73,3,1,1,311,5,Potential Loyalist
51,17,216.39,3,1,1,311,5,Potential Loyalist
35,112,1933.4,3,3,3,333,9,Champions
56,159,4733.47,3,4,4,344,11,Champions
336,115,1578.57,2,3,3,233,8,Loyal Customers
27,105,1785.98,3,3,3,333,9,Champions
182,18,270.03000000000003,2,1,1,211,4,Needs Attention
51,6,112.46000000000001,3,1,1,311,5,Potential Loyalist
9,100,2858.37,4,3,4,434,11,Champions
35,6,195.15,3,1,1,311,5,Potential Loyalist
609,27,433.71999999999997,1,2,2,122,5,Potential Loyalist
427,85,3008.86,1,3,4,134,8,Loyal Customers
9,914,21282.07,4,4,4,444,12,Champions
437,13,317.11,1,1,1,111,3,Needs Attention
395,42,828.5500000000001,1,2,2,122,5,Potential Loyalist
32,49,747.031,3,2,2,322,7,Loyal Customers
10,3,336.40000000000003,4,1,2,412,7,Loyal Customers
49,136,1909.93,3,3,3,333,9,Champions
3,18,1158.77,4,1,3,413,8,Loyal Customers
2,462,7318.08,4,4,4,444,12,Champions
140,108,2437.05,2,3,4,234,9,Champions
116,34,588.13,2,2,2,222,6,Potential Loyalist
99,177,3203.25,2,4,4,244,10,Champions
74,82,1049.37,3,3,3,333,9,Champions
456,24,566.9,1,2,2,122,5,Potential Loyalist
4,324,5603.360000000001,4,4,4,444,12,Champions
449,77,2240.9,1,3,4,134,8,Loyal Customers
44,81,1475.45,3,3,3,333,9,Champions
641,39,596.67,1,2,2,122,5,Potential Loyalist
15,177,3147.31,4,4,4,444,12,Champions
508,185,4173.41,1,4,4,144,9,Champions
16,34,554.65,4,2,2,422,8,Loyal Customers
395,2,100.35,1,1,1,111,3,Needs Attention
89,57,1444.58,3,3,3,333,9,Champions
52,41,797.59,3,2,2,322,7,Loyal Customers
300,29,2137.2,2,2,3,223,7,Loyal Customers
133,72,1028.33,2,3,3,233,8,Loyal Customers
3,784,23835.41,4,4,4,444,12,Champions
104,311,5345.55,2,4,4,244,10,Champions
729,6,105.78000000000002,1,1,1,111,3,Needs Attention
178,36,647.4,2,2,2,222,6,Potential Loyalist
165,238,813.0,2,4,2,242,8,Loyal Customers
18,69,1042.57,4,3,3,433,10,Champions
157,86,952.11,2,3,3,233,8,Loyal Customers
414,11,169.0,1,1,1,111,3,Needs Attention
203,28,599.9,2,2,2,222,6,Potential Loyalist
335,12,2170.35,2,1,3,213,6,Potential Loyalist
514,37,539.03,1,2,2,122,5,Potential Loyalist
36,60,1259.06,3,3,3,333,9,Champions
90,105,1411.84,3,3,3,333,9,Champions
92,6,877.4399999999999,3,1,3,313,7,Loyal Customers
8,21,922.53,4,1,3,413,8,Loyal Customers
232,37,511.32,2,2,2,222,6,Potential Loyalist
44,47,748.5,3,2,2,322,7,Loyal Customers
22,1,30.0,4,1,1,411,6,Potential Loyalist
189,133,2270.34,2,3,4,234,9,Champions
43,21,532.49,3,1,2,312,6,Potential Loyalist
24,165,2764.14,4,4,4,444,12,Champions
316,44,1215.95,2,2,3,223,7,Loyal Customers
660,12,283.73,1,1,1,111,3,Needs Attention
105,9,138.14,2,1,1,211,4,Needs Attention
50,74,1212.35,3,3,3,333,9,Champions
167,288,4015.12,2,4,4,244,10,Champions
471,67,632.9399999999999,1,3,2,132,6,Potential Loyalist
39,13,301.32,3,1,1,311,5,Potential Loyalist
217,1,76.32000000000001,2,1,1,211,4,Needs Attention
39,35,677.69,3,2,2,322,7,Loyal Customers
296,20,315.2,2,1,1,211,4,Needs Attention
18,81,2635.4900000000002,4,3,4,434,11,Champions
724,3,45.300000000000004,1,1,1,111,3,Needs Attention
87,288,6409.84,3,4,4,344,11,Champions
72,374,6217.85,3,4,4,344,11,Champions
80,35,542.04,3,2,2,322,7,Loyal Customers
8,216,3324.09,4,4,4,444,12,Champions
48,72,1305.63,3,3,3,333,9,Champions
52,97,1893.89,3,3,3,333,9,Champions
23,110,781.28,4,3,2,432,9,Champions
8,268,4464.4800000000005,4,4,4,444,12,Champions
17,103,2480.2,4,3,4,434,11,Champions
598,26,316.99,1,2,1,121,4,Needs Attention
116,26,524.54,2,2,2,222,6,Potential Loyalist
546,14,147.8,1,1,1,111,3,Needs Attention
449,17,55.980000000000004,1,1,1,111,3,Needs Attention
419,1,90.0,1,1,1,111,3,Needs Attention
8,168,2981.5,4,4,4,444,12,Champions
418,27,190.57,1,2,1,121,4,Needs Attention
119,24,521.03,2,2,2,222,6,Potential Loyalist
3,19,239.76,4,1,1,411,6,Potential Loyalist
251,15,511.8,2,1,2,212,5,Potential Loyalist
27,12,191.04,3,1,1,311,5,Potential Loyalist
658,1,37.5,1,1,1,111,3,Needs Attention
0,163,10566.46,4,4,4,444,12,Champions
266,59,1131.04,2,3,3,233,8,Loyal Customers
32,240,3757.4700000000003,3,4,4,344,11,Champions
689,14,246.75,1,1,1,111,3,Needs Attention
623,2,46.2,1,1,1,111,3,Needs Attention
17,18,309.65,4,1,1,411,6,Potential Loyalist
171,89,664.03,2,3,2,232,7,Loyal Customers
1,237,1542.14,4,4,3,443,11,Champions
475,30,140.39000000000001,1,2,1,121,4,Needs Attention
264,5,211.5,2,1,1,211,4,Needs Attention
139,209,3744.1800000000003,2,4,4,244,10,Champions
200,6,143.1,2,1,1,211,4,Needs Attention
59,59,1001.8100000000001,3,3,3,333,9,Champions
34,214,945.58,3,4,3,343,10,Champions
40,408,4323.9800000000005,3,4,4,344,11,Champions
283,27,327.85,2,2,2,222,6,Potential Loyalist
416,110,898.87,1,3,3,133,7,Loyal Customers
556,25,420.25,1,2,2,122,5,Potential Loyalist
8,167,3467.46,4,4,4,444,12,Champions
142,63,985.99,2,3,3,233,8,Loyal Customers
11,49,784.8100000000001,4,2,2,422,8,Loyal Customers
555,38,658.02,1,2,2,122,5,Potential Loyalist
145,326,3056.81,2,4,4,244,10,Champions
233,24,607.0,2,2,2,222,6,Potential Loyalist
539,18,293.79,1,1,1,111,3,Needs Attention
32,1794,10134.36,3,4,4,344,11,Champions
23,155,741.92,4,4,2,442,10,Champions
11,91,507.08,4,3,2,432,9,Champions
35,197,5120.05,3,4,4,344,11,Champions
364,129,947.65,2,3,3,233,8,Loyal Customers
200,20,299.8,2,1,1,211,4,Needs Attention
14,32,415.25,4,2,2,422,8,Loyal Customers
389,23,321.91,1,2,1,121,4,Needs Attention
16,694,9445.51,4,4,4,444,12,Champions
48,16,409.80000000000007,3,1,2,312,6,Potential Loyalist
197,13,154.70000000000002,2,1,1,211,4,Needs Attention
65,115,1708.18,3,3,3,333,9,Champions
553,8,125.3,1,1,1,111,3,Needs Attention
211,107,1637.52,2,3,3,233,8,Loyal Customers
282,10,162.3,2,1,1,211,4,Needs Attention
114,43,2263.3,2,2,4,224,8,Loyal Customers
420,19,327.68,1,1,2,112,4,Needs Attention
429,106,1717.27,1,3,3,133,7,Loyal Customers
14,81,1121.21,4,3,3,433,10,Champions
18,501,13342.12,4,4,4,444,12,Champions
65,8,449.12,3,1,2,312,6,Potential Loyalist
48,9,154.88,3,1,1,311,5,Potential Loyalist
457,12,208.62,1,1,1,111,3,Needs Attention
618,41,156.87,1,2,1,121,4,Needs Attention
15,88,784.46,4,3,2,432,9,Champions
77,3,34.8,3,1,1,311,5,Potential Loyalist
8,65,1071.24,4,3,3,433,10,Champions
133,29,182.96,2,2,1,221,5,Potential Loyalist
12,221,2560.66,4,4,4,444,12,Champions
39,37,614.7600000000001,3,2,2,322,7,Loyal Customers
234,15,21535.9,2,1,4,214,7,Loyal Customers
2,666,6692.551,4,4,4,444,12,Champions
460,134,1318.84,1,3,3,133,7,Loyal Customers
39,611,4199.09,3,4,4,344,11,Champions
304,1,79.2,2,1,1,211,4,Needs Attention
50,135,3001.86,3,3,4,334,10,Champions
0,382,5936.95,4,4,4,444,12,Champions
60,192,532.96,3,4,2,342,9,Champions
65,193,2940.36,3,4,4,344,11,Champions
24,9,205.25,4,1,1,411,6,Potential Loyalist
217,20,810.98,2,1,2,212,5,Potential Loyalist
630,5,-5795.87,1,1,1,111,3,Needs Attention
442,5,143.05,1,1,1,111,3,Needs Attention
64,37,583.75,3,2,2,322,7,Loyal Customers
31,63,1048.67,3,3,3,333,9,Champions
80,259,4453.28,3,4,4,344,11,Champions
666,25,370.63,1,2,2,122,5,Potential Loyalist
63,28,799.66,3,2,2,322,7,Loyal Customers
640,9,-242.70000000000002,1,1,1,111,3,Needs Attention
115,1241,15559.46,2,4,4,244,10,Champions
6,243,84269.38,4,4,4,444,12,Champions
612,18,321.45,1,1,1,111,3,Needs Attention
603,28,1006.54,1,2,3,123,6,Potential Loyalist
417,16,280.88,1,1,1,111,3,Needs Attention
5,47,774.52,4,2,2,422,8,Loyal Customers
68,114,1324.2,3,3,3,333,9,Champions
244,9,150.5,2,1,1,211,4,Needs Attention
132,18,241.62,2,1,1,211,4,Needs Attention
240,41,1732.1599999999999,2,2,3,223,7,Loyal Customers
430,17,307.95,1,1,1,111,3,Needs Attention
462,8,124.08000000000001,1,1,1,111,3,Needs Attention
183,29,475.28000000000003,2,2,2,222,6,Potential Loyalist
24,21,333.56,4,1,2,412,7,Loyal Customers
9,63,3985.65,4,3,4,434,11,Champions
10,14,246.3,4,1,1,411,6,Potential Loyalist
467,43,848.3299999999999,1,2,3,123,6,Potential Loyalist
29,244,5825.33,3,4,4,344,11,Champions
43,482,8392.85,3,4,4,344,11,Champions
25,206,948.05,3,4,3,343,10,Champions
500,15,215.53,1,1,1,111,3,Needs Attention
357,140,1932.01,2,3,3,233,8,Loyal Customers
9,35,220.85,4,2,1,421,7,Loyal Customers
43,180,3541.79,3,4,4,344,11,Champions
399,57,933.84,1,3,3,133,7,Loyal Customers
8,31,2382.92,4,2,4,424,10,Champions
735,15,777.0,1,1,2,112,4,Needs Attention
149,131,1979.8700000000001,2,3,3,233,8,Loyal Customers
0,302,5019.95,4,4,4,444,12,Champions
112,12,2821.08,2,1,4,214,7,Loyal Customers
492,83,1535.37,1,3,3,133,7,Loyal Customers
75,155,1424.29,3,4,3,343,10,Champions
106,244,1242.58,2,4,3,243,9,Champions
45,69,1042.19,3,3,3,333,9,Champions
142,3,-451.42,2,1,1,211,4,Needs Attention
50,51,1929.66,3,2,3,323,8,Loyal Customers
0,274,3848.55,4,4,4,444,12,Champions
22,558,9708.92,4,4,4,444,12,Champions
45,31,784.58,3,2,2,322,7,Loyal Customers
49,89,1807.57,3,3,3,333,9,Champions
305,874,18248.83,2,4,4,244,10,Champions
35,67,862.88,3,3,3,333,9,Champions
78,193,2724.8,3,4,4,344,11,Champions
16,316,3843.2200000000003,4,4,4,444,12,Champions
106,126,5186.17,2,3,4,234,9,Champions
207,40,1303.9099999999999,2,2,3,223,7,Loyal Customers
2,100,2531.84,4,3,4,434,11,Champions
63,49,2100.6,3,2,3,323,8,Loyal Customers
541,12,93.3,1,1,1,111,3,Needs Attention
420,152,2766.4,1,4,4,144,9,Champions
587,11,340.5,1,1,2,112,4,Needs Attention
48,264,3911.28,3,4,4,344,11,Champions
319,17,206.98,2,1,1,211,4,Needs Attention
43,62,570.96,3,3,2,332,8,Loyal Customers
2,72,1777.91,4,3,3,433,10,Champions
336,175,3033.86,2,4,4,244,10,Champions
452,26,890.94,1,2,3,123,6,Potential Loyalist
171,20,532.94,2,1,2,212,5,Potential Loyalist
50,121,2583.13,3,3,4,334,10,Champions
72,267,3430.96,3,4,4,344,11,Champions
374,74,1108.82,2,3,3,233,8,Loyal Customers
98,51,636.14,2,2,2,222,6,Potential Loyalist
28,41,547.7,3,2,2,322,7,Loyal Customers
57,69,747.76,3,3,2,332,8,Loyal Customers
253,54,836.79,2,3,2,232,7,Loyal Customers
737,5,80.4,1,1,1,111,3,Needs Attention
69,383,3600.29,3,4,4,344,11,Champions
43,50,954.09,3,2,3,323,8,Loyal Customers
44,12,117.47,3,1,1,311,5,Potential Loyalist
64,52,777.01,3,2,2,322,7,Loyal Customers
10,214,73404.11,4,4,4,444,12,Champions
24,65,1020.74,4,3,3,433,10,Champions
58,28,345.66,3,2,2,322,7,Loyal Customers
63,96,2716.5,3,3,4,334,10,Champions
387,28,528.75,1,2,2,122,5,Potential Loyalist
303,8,118.95000000000002,2,1,1,211,4,Needs Attention
45,11,130.73999999999998,3,1,1,311,5,Potential Loyalist
17,185,4273.65,4,4,4,444,12,Champions
384,29,107.01,1,2,1,121,4,Needs Attention
37,48,822.57,3,2,2,322,7,Loyal Customers
621,35,139.94,1,2,1,121,4,Needs Attention
595,1,-5876.34,1,1,1,111,3,Needs Attention
18,334,1058.72,4,4,3,443,11,Champions
526,8,109.73,1,1,1,111,3,Needs Attention
186,33,257.26,2,2,1,221,5,Potential Loyalist
51,30,110.8,3,2,1,321,6,Potential Loyalist
3,258,5583.81,4,4,4,444,12,Champions
136,95,1052.72,2,3,3,233,8,Loyal Customers
3,1172,33817.44,4,4,4,444,12,Champions
18,24,570.48,4,2,2,422,8,Loyal Customers
15,485,3917.87,4,4,4,444,12,Champions
431,22,438.46,1,2,2,122,5,Potential Loyalist
40,368,2505.21,3,4,4,344,11,Champions
11,804,4217.99,4,4,4,444,12,Champions
7,581,2928.29,4,4,4,444,12,Champions
25,79,358.7,3,3,2,332,8,Loyal Customers
21,27,2014.22,4,2,3,423,9,Champions
40,127,2248.92,3,3,4,334,10,Champions
100,45,230.53,2,2,1,221,5,Potential Loyalist
4,1068,8974.85,4,4,4,444,12,Champions
582,4,94.53,1,1,1,111,3,Needs Attention
276,35,323.65999999999997,2,2,1,221,5,Potential Loyalist
32,147,862.61,3,4,3,343,10,Champions
436,5,33.099999999999994,1,1,1,111,3,Needs Attention
14,215,795.68,4,4,2,442,10,Champions
492,9,138.23999999999998,1,1,1,111,3,Needs Attention
62,370,11135.0,3,4,4,344,11,Champions
645,25,111.72,1,2,1,121,4,Needs Attention
408,11,1449.1399999999999,1,1,3,113,5,Potential Loyalist
1,131,440.78,4,3,2,432,9,Champions
561,51,330.77,1,2,2,122,5,Potential Loyalist
403,183,1157.3,1,4,3,143,8,Loyal Customers
368,212,626.5600000000001,2,4,2,242,8,Loyal Customers
311,32,438.24,2,2,2,222,6,Potential Loyalist
198,78,1448.91,2,3,3,233,8,Loyal Customers
1,49,396.48,4,2,2,422,8,Loyal Customers
431,16,243.75000000000003,1,1,1,111,3,Needs Attention
92,122,1737.57,3,3,3,333,9,Champions
59,62,1052.8700000000001,3,3,3,333,9,Champions
406,37,1027.15,1,2,3,123,6,Potential Loyalist
79,41,402.12,3,2,2,322,7,Loyal Customers
156,401,1795.83,2,4,3,243,9,Champions
394,10,535.65,1,1,2,112,4,Needs Attention
226,62,524.52,2,3,2,232,7,Loyal Customers
668,38,128.2,1,2,1,121,4,Needs Attention
481,1,305.28000000000003,1,1,1,111,3,Needs Attention
252,79,420.29,2,3,2,232,7,Loyal Customers
149,11,179.17,2,1,1,211,4,Needs Attention
624,1,-1899.67,1,1,1,111,3,Needs Attention
193,24,222.05,2,2,1,221,5,Potential Loyalist
0,703,5534.36,4,4,4,444,12,Champions
368,8,112.5,2,1,1,211,4,Needs Attention
23,131,890.5,4,3,3,433,10,Champions
16,173,684.23,4,4,2,442,10,Champions
379,18,145.01,2,1,1,211,4,Needs Attention
9,119,8859.82,4,3,4,434,11,Champions
7,30,164.68,4,2,1,421,7,Loyal Customers
542,22,114.69,1,2,1,121,4,Needs Attention
19,207,2467.89,4,4,4,444,12,Champions
3,249,967.45,4,4,3,443,11,Champions
490,41,764.57,1,2,2,122,5,Potential Loyalist
173,7,191.94,2,1,1,211,4,Needs Attention
0,628,2681.8,4,4,4,444,12,Champions
447,261,1401.55,1,4,3,143,8,Loyal Customers
177,95,1074.7,2,3,3,233,8,Loyal Customers
533,1,6.300000000000001,1,1,1,111,3,Needs Attention
377,13,205.99,2,1,1,211,4,Needs Attention
401,146,429.21,1,4,2,142,7,Loyal Customers
15,342,3277.67,4,4,4,444,12,Champions
247,155,560.63,2,4,2,242,8,Loyal Customers
190,61,582.88,2,3,2,232,7,Loyal Customers
19,192,910.61,4,4,3,443,11,Champions
153,108,571.64,2,3,2,232,7,Loyal Customers
172,83,802.11,2,3,2,232,7,Loyal Customers
371,24,727.2,2,2,2,222,6,Potential Loyalist
372,42,254.16,2,2,1,221,5,Potential Loyalist
730,15,102.82,1,1,1,111,3,Needs Attention
193,12,207.15,2,1,1,211,4,Needs Attention
541,7,134.44,1,1,1,111,3,Needs Attention
646,17,123.39,1,1,1,111,3,Needs Attention
655,11,293.53,1,1,1,111,3,Needs Attention
643,1,594.0,1,1,2,112,4,Needs Attention
66,21,426.63,3,1,2,312,6,Potential Loyalist
427,14,239.9,1,1,1,111,3,Needs Attention
3,119,2461.85,4,3,4,434,11,Champions
20,74,1107.46,4,3,3,433,10,Champions
417,29,2190.66,1,2,4,124,7,Loyal Customers
238,34,108.03999999999999,2,2,1,221,5,Potential Loyalist
378,19,282.79,2,1,1,211,4,Needs Attention
63,7,145.35,3,1,1,311,5,Potential Loyalist
111,39,734.81,2,2,2,222,6,Potential Loyalist
89,162,9047.64,3,4,4,344,11,Champions
310,3,-3.552713678800501e-15,2,1,1,211,4,Needs Attention
512,10,230.6,1,1,1,111,3,Needs Attention
133,14,337.44,2,1,2,212,5,Potential Loyalist
649,12,271.28999999999996,1,1,1,111,3,Needs Attention
276,38,2164.24,2,2,3,223,7,Loyal Customers
364,30,827.27,2,2,2,222,6,Potential Loyalist
502,26,2304.18,1,2,4,124,7,Loyal Customers
82,29,1708.24,3,2,3,323,8,Loyal Customers
7,95,1509.0900000000001,4,3,3,433,10,Champions
16,19,364.72,4,1,2,412,7,Loyal Customers
1,402,6938.51,4,4,4,444,12,Champions
0,61,974.52,4,3,3,433,10,Champions
33,91,806.57,3,3,2,332,8,Loyal Customers
14,192,3524.7,4,4,4,444,12,Champions
588,20,190.75,1,1,1,111,3,Needs Attention
23,368,8622.61,4,4,4,444,12,Champions
550,18,617.6,1,1,2,112,4,Needs Attention
31,151,930.1,3,4,3,343,10,Champions
73,74,492.99,3,3,2,332,8,Loyal Customers
681,78,579.49,1,3,2,132,6,Potential Loyalist
373,27,394.0,2,2,2,222,6,Potential Loyalist
378,42,451.28999999999996,2,2,2,222,6,Potential Loyalist
448,58,295.83,1,3,1,131,5,Potential Loyalist
19,28,470.76,4,2,2,422,8,Loyal Customers
662,21,272.96000000000004,1,1,1,111,3,Needs Attention
16,370,2999.34,4,4,4,444,12,Champions
443,32,399.58,1,2,2,122,5,Potential Loyalist
22,502,3019.2,4,4,4,444,12,Champions
387,85,418.05,1,3,2,132,6,Potential Loyalist
2,36,1043.85,4,2,3,423,9,Champions
303,24,1017.32,2,2,3,223,7,Loyal Customers
